138.155318, 532.029325,;137.807578, 529.488368,;130.158098, 527.937938,;130.05296, 529.722595,;142.141955, 521.705428,;135.728716, 511.666501,;138.371976, 511.372345,;135.494662, 515.785739,;131.843325, 525.11619,;131.373415, 516.334412,;138.178299, 522.466797,;133.388125, 521.726645,;144.85705, 511.321435,;145.231547, 515.295783,;142.12477, 511.55957,;147.993456, 522.412669,;148.882876, 515.436485,;131.430682, 531.454651,;137.626941, 535.761353,;139.85141, 535.540933,;132.18507, 536.744385,;146.596161, 529.943759,;149.284328, 525.790405,;144.622988, 529.686617,;142.750513, 536.053016,;148.713493, 533.420776,;145.454295, 541.0979,;142.329203, 541.058339,;149.136281, 541.378784,;132.678146, 538.629788,;132.67381, 540.910706,
138.154786, 532.016418,;137.788447, 529.488058,;130.192006, 527.937628,;130.0528, 529.756503,;142.129049, 521.705259,;135.741622, 511.664709,;138.371048, 511.406253,;135.528569, 515.785783,;131.809417, 525.117472,;131.372723, 516.347318,;138.181581, 522.432889,;133.375219, 521.726678,;144.823142, 511.321855,;145.21864, 515.289322,;142.123996, 511.525662,;148.027358, 522.412669,;148.848968, 515.437148,;131.430333, 531.488559,;137.626217, 535.79526,;139.829004, 535.620911,;132.208777, 536.77343,;146.595917, 529.956665,;149.281366, 525.756497,;144.58908, 529.688253,;142.763417, 536.052848,;148.713261, 533.454684,;145.449752, 541.131808,;142.295301, 541.058604,;149.135726, 541.365878,;132.678131, 538.616882,;132.673081, 540.876798,
138.153962, 531.982511,;137.754539, 529.48766,;130.204912, 527.937544,;130.052825, 529.769409,;142.095141, 521.70495,;135.77553, 511.65989,;138.370801, 511.419159,;135.541476, 515.7858,;131.796511, 525.11801,;131.37059, 516.381226,;138.181663, 522.419983,;133.341311, 521.726723,;144.810236, 511.321923,;145.184733, 515.264477,;142.12387, 511.512756,;148.040262, 522.412686,;148.836062, 515.437519,;131.430172, 531.501465,;137.626017, 535.808167,;139.813209, 535.69853,;132.217821, 536.785091,;146.59521, 529.990573,;149.280203, 525.743591,;144.576174, 529.68869,;142.79732, 536.051964,;148.713194, 533.46759,;145.447881, 541.144714,;142.282397, 541.058672,;149.134013, 541.33197,;132.678291, 538.582974,;132.672782, 540.863892,
138.153432, 531.969604,;137.741633, 529.487492,;130.238815, 527.937544,;130.052405, 529.803317,;142.061238, 521.704729,;135.809438, 511.662344,;138.371481, 511.453067,;135.575378, 515.7858,;131.762609, 525.117657,;131.369938, 516.415133,;138.185409, 522.407077,;133.307403, 521.726723,;144.776334, 511.321967,;145.181363, 515.258503,;142.123876, 511.478871,;148.074165, 522.41273,;148.802159, 515.438314,;131.429597, 531.535373,;137.625222, 535.842074,;139.793644, 535.769338,;132.220951, 536.786336,;146.594958, 530.003479,;149.274028, 525.732284,;144.542272, 529.689397,;142.831227, 536.052406,;148.713227, 533.501498,;145.448544, 541.178622,;142.248489, 541.05876,;149.134355, 541.298062,;132.678379, 538.570068,;132.67208, 540.829984,
138.152907, 531.935697,;137.707725, 529.487448,;130.251719, 527.937645,;130.052176, 529.816223,;142.048334, 521.704611,;135.822344, 511.663311,;138.371687, 511.465973,;135.588282, 515.785783,;131.749705, 525.117606,;131.369831, 516.42804,;138.196743, 522.373169,;133.294497, 521.726723,;144.76343, 511.321941,;145.180927, 515.257751,;142.123897, 511.465973,;148.087069, 522.412781,;148.789255, 515.438886,;131.42942, 531.548279,;137.624931, 535.85498,;139.786299, 535.808167,;132.236501, 536.791199,;146.59435, 530.037387,;149.257372, 525.698818,;144.529368, 529.689566,;142.844134, 536.052659,;148.713227, 533.514404,;145.448783, 541.191528,;142.235583, 541.058827,;149.134852, 541.285156,;132.678534, 538.536161,;132.67182, 540.817078,
138.152583, 531.922791,;137.694819, 529.487364,;130.285627, 527.937955,;130.052181, 529.850131,;142.035428, 521.704628,;135.856252, 511.665102,;138.372682, 511.499859,;135.62219, 515.785695,;131.715797, 525.117562,;131.369361, 516.461947,;138.200609, 522.368912,;133.260589, 521.726634,;144.729522, 511.322052,;145.170632, 515.223844,;142.12409, 511.432065,;148.120977, 522.412958,;148.755348, 515.440213,;131.429138, 531.582187,;137.624263, 535.888888,;139.785199, 535.867887,;132.246278, 536.792141,;146.594093, 530.050293,;149.256985, 525.698376,;144.49546, 529.690538,;142.878041, 536.051598,;148.713304, 533.548312,;145.449027, 541.225436,;142.201675, 541.058783,;149.134785, 541.251248,;132.678597, 538.523254,;132.671427, 540.78317,
138.152661, 531.888883,;137.684695, 529.488115,;130.298533, 527.938072,;130.05187, 529.863037,;142.00152, 521.704628,;135.869158, 511.665783,;138.372875, 511.512756,;135.635096, 515.785678,;131.702891, 525.117562,;131.36917, 516.474854,;138.209749, 522.358567,;133.247683, 521.726634,;144.716616, 511.322086,;145.168232, 515.210938,;142.124099, 511.419159,;148.133883, 522.413059,;148.742441, 515.440987,;131.429103, 531.595093,;137.62396, 535.901794,;139.782182, 535.901794,;132.264635, 536.792672,;146.593651, 530.084201,;149.255031, 525.696777,;144.482554, 529.690858,;142.890948, 536.051177,;148.713361, 533.561218,;145.449136, 541.238342,;142.188769, 541.058766,;149.135559, 541.238342,;132.678608, 538.489347,;132.671286, 540.770264,
138.152589, 531.875977,;137.679422, 529.488586,;130.311439, 527.938325,;130.052047, 529.896945,;141.967613, 521.704628,;135.90306, 511.667153,;138.373163, 511.546664,;135.668998, 515.785634,;131.668983, 525.117253,;131.368575, 516.48776,;138.243657, 522.346233,;133.213775, 521.726457,;144.682708, 511.321997,;145.166673, 515.17703,;142.122969, 511.406253,;148.167791, 522.41328,;148.738523, 515.441189,;131.429224, 531.629001,;137.622943, 535.935702,;139.785968, 535.932238,;132.270454, 536.792141,;146.593413, 530.097107,;149.22151, 525.674452,;144.448646, 529.691698,;142.911516, 536.044811,;148.71367, 533.595126,;145.449418, 541.27225,;142.154861, 541.058766,;149.136963, 541.204434,;132.6786, 538.47644,;132.671342, 540.736356,
138.153352, 531.842069,;137.655643, 529.498401,;130.345347, 527.939342,;130.051689, 529.909851,;141.954706, 521.704628,;135.915964, 511.667667,;138.373013, 511.55957,;135.681902, 515.785617,;131.656077, 525.117034,;131.367453, 516.521667,;138.256563, 522.341572,;133.200869, 521.726407,;144.669802, 511.321938,;145.166989, 515.164124,;142.120062, 511.372345,;148.180697, 522.413347,;148.718959, 515.442361,;131.429319, 531.641907,;137.622567, 535.948608,;139.790328, 535.966146,;132.284183, 536.791199,;146.592634, 530.131015,;149.210558, 525.668815,;144.43574, 529.691883,;142.919744, 536.042236,;148.713799, 533.608032,;145.449601, 541.285156,;142.141955, 541.058749,;149.137821, 541.191528,;132.678434, 538.442533,;132.671358, 540.72345,
138.153609, 531.829163,;137.648012, 529.5018,;130.379249, 527.940977,;130.052015, 529.943759,;141.920804, 521.704716,;135.949872, 511.660218,;138.372776, 511.572476,;135.71581, 515.78544,;131.622174, 525.116371,;131.368906, 516.555575,;138.290471, 522.341351,;133.166967, 521.726186,;144.635894, 511.320922,;145.167351, 515.151217,;142.102103, 511.338724,;148.214605, 522.413524,;148.695635, 515.443517,;131.429429, 531.675815,;137.623279, 535.982516,;139.797748, 535.995422,;132.311449, 536.789697,;146.592184, 530.143921,;149.183364, 525.657233,;144.401837, 529.692502,;142.924422, 536.037508,;148.71423, 533.64194,;145.44949, 541.319064,;142.108047, 541.058749,;149.14175, 541.15762,;132.678369, 538.429626,;132.67138, 540.689542,
138.154415, 531.795255,;137.64255, 529.511307,;130.392153, 527.941499,;130.052013, 529.956665,;141.9079, 521.70475,;135.962778, 511.657399,;138.372378, 511.606384,;135.728716, 515.785373,;131.60927, 525.116101,;131.369295, 516.568481,;138.303377, 522.340728,;133.154062, 521.726102,;144.622988, 511.320476,;145.166759, 515.11731,;142.095141, 511.325844,;148.227511, 522.413574,;148.656041, 515.444504,;131.429497, 531.688721,;137.623536, 535.995422,;139.801363, 536.003823,;132.344359, 536.788667,;146.594075, 530.156827,;149.170833, 525.649963,;144.388933, 529.692502,;142.937762, 536.023273,;148.714385, 533.654846,;145.449652, 541.33197,;142.095141, 541.058733,;149.142398, 541.144714,;132.678292, 538.395719,;132.671374, 540.676636,
138.154672, 531.782349,;137.628519, 529.5354,;130.416545, 527.943046,;130.052731, 529.969571,;141.873992, 521.704838,;135.967647, 511.654393,;138.378057, 511.61929,;135.762624, 515.785417,;131.575362, 525.115173,;131.371859, 516.602389,;138.316284, 522.340846,;133.141156, 521.726068,;144.58908, 511.322023,;145.166914, 515.083402,;142.094776, 511.325556,;148.261419, 522.413795,;148.648821, 515.44473,;131.42937, 531.722629,;137.641269, 536.029198,;139.837374, 536.080783,;132.346105, 536.78859,;146.599181, 530.190735,;149.164119, 525.645498,;144.355026, 529.693696,;142.940328, 536.015095,;148.714573, 533.688754,;145.448785, 541.365878,;142.061238, 541.058777,;149.144382, 541.110807,;132.67825, 538.382813,;132.671429, 540.642728,
138.155551, 531.748441,;137.625242, 529.569308,;130.426872, 527.943787,;130.053847, 530.003479,;141.861086, 521.704889,;135.969559, 511.653198,;138.391463, 511.653198,;135.77553, 515.785434,;131.562456, 525.114736,;131.372669, 516.615295,;138.350191, 522.341774,;133.107249, 521.726024,;144.576174, 511.322646,;145.167038, 515.070496,;142.09474, 511.325531,;148.274325, 522.413846,;148.607448, 515.444783,;131.429271, 531.735535,;137.648012, 536.042104,;139.842906, 536.08905,;132.358256, 536.788102,;146.609523, 530.201554,;149.163744, 525.645162,;144.342119, 529.694015,;142.946417, 535.995422,;148.714668, 533.70166,;145.448442, 541.378784,;142.048334, 541.058827,;149.144327, 541.0979,;132.678283, 538.369924,;132.671444, 540.629822,
138.155784, 531.735535,;137.624102, 529.582214,;130.436388, 527.944627,;130.054459, 530.016385,;141.827178, 521.704845,;135.988226, 511.61929,;138.395536, 511.65658,;135.809438, 515.785478,;131.528549, 525.113144,;131.372526, 516.628202,;138.363095, 522.342431,;133.073346, 521.725935,;144.565879, 511.324723,;145.167348, 515.036588,;142.081872, 511.321316,;148.308232, 522.414111,;148.602007, 515.444861,;131.429442, 531.769442,;137.648166, 536.042236,;139.871279, 536.115487,;132.371162, 536.788102,;146.635905, 530.230246,;149.157018, 525.632592,;144.308212, 529.695076,;142.949435, 535.961515,;148.714723, 533.735568,;145.447353, 541.412692,;142.014427, 541.059048,;149.143587, 541.063993,;132.678355, 538.348921,;132.671527, 540.595914,
138.156508, 531.701627,;137.625064, 529.616078,;130.438967, 527.944896,;130.05542, 530.050293,;141.814272, 521.704828,;135.995259, 511.606384,;138.396998, 511.657716,;135.822344, 515.785478,;131.515642, 525.112303,;131.373908, 516.662109,;138.396998, 522.343359,;133.060442, 521.725885,;144.561996, 511.325531,;145.167497, 515.023682,;142.048334, 511.310175,;148.321139, 522.414195,;148.598248, 515.444946,;131.429373, 531.782349,;137.661071, 536.045332,;139.894984, 536.144179,;132.40507, 536.787263,;146.656014, 530.235462,;149.139257, 525.603149,;144.295305, 529.695278,;142.95027, 535.948608,;148.714727, 533.748474,;145.446745, 541.425598,;142.00152, 541.059133,;149.143259, 541.051086,;132.678387, 538.335999,;132.671565, 540.583008,
138.156811, 531.688721,;137.625432, 529.628967,;130.460436, 527.944056,;130.055581, 530.084201,;141.780364, 521.704518,;135.996685, 511.572476,;138.430906, 511.667818,;135.856252, 515.785301,;131.481735, 525.113187,;131.374289, 516.696017,;138.409904, 522.344015,;133.026534, 521.725973,;144.538389, 511.340562,;145.167712, 514.989774,;142.014427, 511.309755,;148.355041, 522.414328,;148.565671, 515.445434,;131.429936, 531.816256,;137.694819, 536.053644,;139.90973, 536.15165,;132.417976, 536.787162,;146.66892, 530.237313,;149.138277, 525.590243,;144.261398, 529.69572,;142.951386, 535.914701,;148.714606, 533.782382,;145.445955, 541.459506,;141.967613, 541.059221,;149.14706, 541.017179,;132.678392, 538.302091,;132.67136, 540.5491,
